City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
254,fort mcmurray,56.7268,-111.381,23.77,40,0,7.72,CA,1695506091
255,tekkali,18.6167,84.2333,25.83,94,98,2.73,IN,1695506269
256,amursk,50.2261,136.8994,8.05,89,10,2.64,RU,1695506269
257,san francisco de la paz,14.9,-86.2,30.84,56,47,1.07,HN,1695506270
258,codrington,-38.2667,141.9667,11.36,72,0,2.71,AU,1695506270
259,imperatriz,-5.5264,-47.4917,33.39,31,92,1.62,BR,1695506270
260,boende,-0.2167,20.8667,20.08,99,99,0.61,CD,1695506271
261,kruisfontein,-34.0033,24.7314,13.27,96,100,8.29,ZA,1695506271
262,nova sintra,14.8667,-24.7167,24.19,81,93,6.95,CV,1695506271
263,aquidauana,-20.4711,-55.7872,34.94,22,34,1.42,BR,1695506271
264,chibuto,-24.6867,33.5306,22.98,43,0,3.43,MZ,1695506272
265,lemvig,56.5486,8.3102,13.41,76,15,6.49,DK,1695506272
266,saynshand,44.8824,110.1163,13.74,46,42,2.88,MN,1695506272
267,undurkhaan,47.3194,110.6556,7.14,89,4,5.93,MN,1695506273
268,al jawf,29.5,38.75,29.11,16,4,1.56,SA,1695506273
269,ulladulla,-35.35,150.4667,14.76,65,35,1.43,AU,1695506273
270,moshi,-3.35,37.3333,19.96,75,25,2.65,TZ,1695506273
271,kidal,18.4411,1.4078,34.84,11,0,2.28,ML,1695506273
272,sitka,57.0531,-135.33,10.94,76,75,2.57,US,1695506274
273,airway heights,47.6446,-117.5933,22.66,30,75,6.17,US,1695506274
274,velizh,55.6056,31.1967,17.06,65,68,4.48,RU,1695506274
275,rongelap,11.1635,166.8941,28.24,80,100,8.56,MH,1695506275
276,xilin hot,43.9667,116.0333,14.79,67,100,5.96,CN,1695506275
277,san jose del guaviare,2.5729,-72.6459,24.96,92,88,1.09,CO,1695506275
278,alice springs,-23.7,133.8833,10.75,37,0,2.06,AU,1695506275
279,keflavik,64.0049,-22.5624,8.24,76,100,7.2,IS,1695506276
280,vargarda,58.0371,12.8091,11.07,92,1,4.21,SE,1695506276
281,ain sefra,32.75,-0.5833,24.99,29,10,1.45,DZ,1695506276
282,goth phulji,26.8825,67.6807,33.01,41,89,3.02,PK,1695506276
283,petrosino,37.7077,12.4999,23.93,64,94,10.15,IT,1695506277
284,lihue,21.9789,-159.3672,28.58,70,20,6.69,US,1695506277
285,chui,-33.6971,-53.4616,14.03,97,100,4.32,UY,1695506277
286,katsuura,35.1333,140.3,22.75,66,100,9.98,JP,1695506278
287,qusmuryn,52.4503,64.6311,10.61,52,35,1.45,KZ,1695506278
288,vite,17.2833,74.55,21.41,95,100,1.92,IN,1695506278
289,bikenibeu village,1.3673,173.1241,30.98,74,40,1.54,KI,1695506278
290,dryden,49.7833,-92.7503,18.16,82,100,3.6,CA,1695506279
291,port alfred,-33.5906,26.891,16.21,97,100,3.58,ZA,1695506279
292,greymouth,-42.4667,171.2,10.89,70,100,2.86,NZ,1695506279
293,chardara,41.2547,67.9692,15.79,45,0,4.68,KZ,1695506280
294,tazacorte,28.629,-17.9293,23.54,96,0,4.63,ES,1695506280
295,dunedin,-45.8742,170.5036,9.33,57,73,1.79,NZ,1695506132
